t # GO
v 0 0
v 1 1
v 2 2
v 3 3
v 4 4
v 5 5
v 6 6
v 7 7
v 8 8
v 9 9
v 10 10
v 11 11
v 12 12
v 13 13
v 14 14
v 15 15
v 16 16
v 17 17
v 18 18
v 19 19
v 20 20
v 21 21
v 22 22
v 23 23
v 24 24
v 25 25
v 26 26
v 27 27
v 28 28
v 29 29
v 30 30
v 31 31
v 32 32
v 33 33
v 34 34
v 35 35
v 36 36
v 37 37
v 38 38
v 39 39
v 40 40
v 41 41
v 42 42
v 43 43
v 44 44
v 45 45
v 46 46
v 47 47
v 48 48
v 49 49
v 50 50
v 51 51
v 52 52
v 53 53
v 54 54
v 55 55
v 56 56
v 57 57
v 58 58
v 59 59
v 60 60
v 61 61
v 62 62
v 63 63
v 64 64
v 65 65
v 66 66
v 67 67
v 68 68
v 69 69
v 70 70
v 71 71
v 72 72
v 73 73
v 74 74
v 75 75
v 76 76
v 77 77
v 78 78
v 79 79
v 80 80
v 81 81
v 82 82
v 83 83
v 84 84
v 85 85
v 86 86
v 87 87
v 88 88
v 89 89
v 90 90
v 91 91
v 92 92
v 93 93
v 94 94
v 95 95
v 96 96
v 97 97
v 98 98
v 99 99
v 100 100
v 101 101
v 102 102
v 103 103
v 104 104
v 105 105
v 106 106
v 107 107
v 108 108
v 109 109
v 110 110
v 111 111
v 112 112
v 113 113
v 114 114
v 115 115
v 116 116
v 117 117
v 118 118
v 119 119
v 120 120
v 121 121
v 122 122
v 123 123
v 124 124
v 125 125
v 126 126
v 127 127
v 128 128
v 129 129
v 130 130
v 131 131
v 132 132
v 133 133
v 134 134
v 135 135
v 136 136
v 137 137
v 138 138
v 139 139
v 140 140
v 141 141
v 142 142
v 143 143
v 144 144
v 145 145
v 146 146
v 147 147
v 148 148
v 149 149
v 150 150
v 151 151
v 152 152
v 153 153
v 154 154
v 155 155
v 156 156
v 157 157
v 158 158
v 159 159
v 160 160
v 161 161
v 162 162
v 163 163
v 164 164
v 165 165
v 166 166
v 167 167
v 168 168
v 169 169
v 170 170
v 171 171
v 172 172
v 173 173
v 174 174
v 175 175
v 176 176
v 177 177
v 178 178
v 179 179
v 180 180
v 181 181
v 182 182
v 183 183
v 184 184
v 185 185
v 186 186
v 187 187
v 188 188
v 189 189
v 190 190
v 191 191
v 192 192
v 193 193
v 194 194
v 195 195
v 196 196
v 197 197
v 198 198
v 199 199
v 200 200
v 201 201
v 202 202
v 203 203
v 204 204
v 205 205
v 206 206
v 207 207
v 208 208
v 209 209
v 210 210
v 211 211
v 212 212
v 213 213
v 214 214
v 215 215
v 216 216
v 217 217
v 218 218
v 219 219
v 220 220
v 221 221
v 222 222
v 223 223
v 224 224
v 225 225
v 226 226
v 227 227
v 228 228
v 229 229
v 230 230
v 231 231
v 232 232
v 233 233
v 234 234
v 235 235
v 236 236
v 237 237
v 238 238
v 239 239
v 240 240
v 241 241
v 242 242
v 243 243
v 244 244
v 245 245
v 246 246
v 247 247
v 248 248
v 249 249
v 250 250
v 251 251
v 252 252
v 253 253
v 254 254
v 255 255
v 256 256
v 257 257
v 258 258
v 259 259
v 260 260
v 261 261
v 262 262
v 263 263
v 264 264
v 265 265
v 266 266
v 267 267
v 268 268
v 269 269
v 270 270
v 271 271
v 272 272
v 273 273
v 274 274
v 275 275
v 276 276
v 277 277
v 278 278
v 279 279
v 280 280
v 281 281
v 282 282
v 283 283
v 284 284
v 285 285
v 286 286
v 287 287
v 288 288
v 289 289
v 290 290
v 291 291
v 292 292
v 293 293
v 294 294
v 295 295
v 296 296
v 297 297
v 298 298
v 299 299
v 300 300
v 301 301
v 302 302
v 303 303
v 304 304
v 305 305
v 306 306
v 307 307
v 308 308
v 309 309
v 310 310
v 311 311
v 312 312
v 313 313
v 314 314
v 315 315
v 316 316
v 317 317
v 318 318
v 319 319
v 320 320
v 321 321
v 322 322
v 323 323
v 324 324
v 325 325
v 326 326
v 327 327
v 328 328
v 329 329
v 330 330
v 331 331
v 332 332
v 333 333
v 334 334
v 335 335
v 336 336
v 337 337
v 338 338
v 339 339
v 340 340
v 341 341
v 342 342
v 343 343
v 344 344
v 345 345
v 346 346
v 347 347
v 348 348
v 349 349
v 350 350
v 351 351
v 352 352
v 353 353
v 354 354
v 355 355
v 356 356
v 357 357
v 358 358
v 359 359
v 360 360
v 361 361
v 362 362
v 363 363
v 364 364
v 365 365
v 366 366
v 367 367
v 368 368
v 369 369
v 370 370
v 371 371
v 372 372
v 373 373
v 374 374
v 375 375
v 376 376
v 377 377
v 378 378
v 379 379
v 380 380
v 381 381
v 382 382
v 383 383
v 384 384
v 385 385
v 386 386
v 387 387
v 388 388
v 389 389
v 390 390
v 391 391
v 392 392
v 393 393
v 394 394
v 395 395
v 396 396
v 397 397
v 398 398
v 399 399
v 400 400
v 401 401
v 402 402
v 403 403
v 404 404
v 405 405
v 406 406
v 407 407
v 408 408
v 409 409
v 410 410
v 411 411
v 412 412
v 413 413
v 414 414
v 415 415
v 416 416
v 417 417
v 418 418
v 419 419
v 420 420
v 421 421
v 422 422
v 423 423
v 424 424
