t # GO 
an "0" label: "0"
an "1" label: "1"
an "2" label: "2"
an "3" label: "3"
an "4" label: "4"
an "5" label: "5"
an "6" label: "6"
an "7" label: "7"
an "8" label: "8"
an "9" label: "9"
an "10" label: "10"
an "11" label: "11"
an "12" label: "12"
an "13" label: "13"
an "14" label: "14"
ae "12 5" > "15"
ae "12 3" > "11"
ae "12 10" > "5"
ae "4 12" > "4"
ae "4 11" > "12"
ae "4 8" > "6"
ae "4 13" > "2"
ae "4 7" > "0"
ae "4 6" > "4"
ae "4 0" > "12"
ae "4 1" > "6"
ae "2 4" > "3"
ae "2 14" > "10"
ae "2 9" > "1"
